"marriage_id","tree_id","husband_id","wife_id","start_date"
"135380","15","202402","202403","1047-07-27"
"135381","15","202404","202414","1082-12-28"
"135382","15","202405","202415","1091-08-18"
"135383","15","202406","202416","1056-12-12"
"135384","15","202407","202417","1077-08-03"
"135385","15","202408","202418","1044-09-29"
"135386","15","202409","202419","1054-12-29"
"135387","15","202410","202420","1019-05-27"
"135388","15","202421","202411","1032-09-07"
"135389","15","202422","202412","1047-12-17"
"135390","15","202423","202413","1038-12-02"
"135391","15","202424","202474","1125-04-28"
"135392","15","202430","202475","1100-06-04"
"135393","15","202432","202476","1085-04-30"
"135394","15","202434","202477","1061-10-21"
"135395","15","202436","202478","1082-01-06"
"135396","15","202438","202479","1081-01-08"
"135397","15","202440","202480","1133-03-29"
"135398","15","202442","202481","1116-11-01"
"135399","15","202444","202482","1065-01-16"
"135400","15","202445","202483","1112-07-06"
"135401","15","202447","202484","1096-06-14"
"135402","15","202449","202485","1102-12-20"
"135403","15","202451","202486","1078-05-13"
"135404","15","202452","202487","1095-10-03"
"135405","15","202454","202488","1095-01-31"
"135406","15","202455","202489","1072-07-24"
"135407","15","202456","202490","1072-07-02"
"135408","15","202458","202491","1091-05-10"
"135409","15","202459","202492","1043-10-11"
"135410","15","202460","202493","1092-08-23"
"135411","15","202463","202494","1078-08-29"
"135412","15","202466","202495","1076-09-09"
"135413","15","202467","202496","1110-10-21"
"135414","15","202469","202497","1121-05-28"
"135415","15","202470","202498","1104-06-04"
"135416","15","202471","202499","1116-08-29"
"135417","15","202472","202500","1101-01-17"
"135418","15","202501","202425","1105-06-02"
"135419","15","202502","202426","1091-03-07"
"135420","15","202503","202427","1107-09-22"
"135421","15","202504","202428","1074-06-26"
"135422","15","202505","202429","1096-12-27"
"135423","15","202506","202431","1083-04-08"
"135424","15","202507","202433","1110-04-16"
"135425","15","202508","202435","1108-05-08"
"135426","15","202509","202437","1077-09-10"
"135427","15","202510","202439","1077-10-29"
"135428","15","202511","202441","1104-10-02"
"135429","15","202512","202443","1080-04-07"
"135430","15","202513","202446","1095-10-03"
"135431","15","202514","202448","1088-09-06"
"135432","15","202515","202450","1089-02-25"
"135433","15","202516","202457","1069-11-16"
"135434","15","202517","202462","1058-09-09"
"135435","15","202518","202464","1088-01-17"
"135436","15","202519","202465","1035-12-19"
"135437","15","202520","202468","1134-01-22"
"135438","15","202521","202691","1105-06-20"
"135439","15","202522","202692","1140-07-13"
"135440","15","202525","202693","1167-12-14"
"135441","15","202527","202694","1131-01-17"
"135442","15","202529","202695","1162-02-28"
"135443","15","202532","202696","1161-03-15"
"135444","15","202533","202697","1143-10-27"
"135445","15","202534","202698","1087-09-13"
"135446","15","202535","202699","1117-12-21"
"135447","15","202538","202700","1127-11-15"
