"marriage_id","tree_id","husband_id","wife_id","start_date"
"91277","6","137866","137867","1009-02-17"
"91278","6","137871","137878","1063-01-21"
"91279","6","137873","137879","1082-11-12"
"91280","6","137876","137880","1050-01-13"
"91281","6","137877","137881","1094-02-12"
"91282","6","137882","137868","1068-08-18"
"91283","6","137883","137869","1053-03-20"
"91284","6","137884","137870","1076-01-01"
"91285","6","137885","137872","1080-05-19"
"91286","6","137886","137874","1078-05-25"
"91287","6","137887","137875","1062-06-09"
"91288","6","137888","137938","1046-11-29"
"91289","6","137890","137939","1047-07-31"
"91290","6","137893","137940","1091-04-17"
"91291","6","137896","137941","1079-07-12"
"91292","6","137897","137942","1085-08-21"
"91293","6","137898","137943","1068-12-02"
"91294","6","137899","137944","1066-07-24"
"91295","6","137900","137945","1091-06-15"
"91296","6","137901","137946","1067-10-04"
"91297","6","137902","137947","1060-06-17"
"91298","6","137907","137948","1053-07-03"
"91299","6","137917","137949","1099-04-06"
"91300","6","137919","137950","1117-03-01"
"91301","6","137924","137951","1078-09-09"
"91302","6","137925","137952","1072-12-21"
"91303","6","137927","137953","1078-09-24"
"91304","6","137931","137954","1105-04-27"
"91305","6","137932","137955","1097-04-26"
"91306","6","137934","137956","1080-03-20"
"91307","6","137935","137957","1102-10-19"
"91308","6","137936","137958","1073-11-18"
"91309","6","137959","137889","1082-01-19"
"91310","6","137960","137891","1102-02-05"
"91311","6","137961","137892","1077-04-21"
"91312","6","137962","137894","1084-04-09"
"91313","6","137963","137895","1121-11-19"
"91314","6","137964","137903","1092-01-08"
"91315","6","137965","137904","1045-01-18"
"91316","6","137966","137905","1068-05-14"
"91317","6","137967","137906","1110-02-21"
"91318","6","137968","137908","1055-01-16"
"91319","6","137969","137909","1072-05-06"
"91320","6","137970","137910","1105-03-29"
"91321","6","137971","137911","1045-12-19"
"91322","6","137972","137912","1064-04-02"
"91323","6","137973","137913","1088-09-22"
"91324","6","137974","137914","1089-03-28"
"91325","6","137975","137915","1092-10-24"
"91326","6","137976","137916","1096-04-27"
"91327","6","137977","137918","1053-06-10"
"91328","6","137978","137920","1083-06-03"
"91329","6","137979","137921","1098-01-26"
"91330","6","137980","137922","1104-07-07"
"91331","6","137981","137923","1065-10-13"
"91332","6","137982","137926","1085-07-24"
"91333","6","137983","137928","1102-02-25"
"91334","6","137984","137929","1109-06-06"
"91335","6","137985","137930","1099-11-07"
"91336","6","137986","137933","1111-04-19"
"91337","6","137987","137937","1091-03-09"
"91338","6","137988","138203","1133-12-01"
"91339","6","137990","138204","1095-03-30"
"91340","6","137992","138205","1115-01-16"
"91341","6","137996","138206","1137-10-30"
"91342","6","138001","138207","1181-01-03"
"91343","6","138002","138208","1103-07-28"
"91344","6","138003","138209","1140-08-14"
"91345","6","138005","138210","1150-04-24"
"91346","6","138008","138211","1139-03-18"
"91347","6","138011","138212","1133-07-22"
"91348","6","138017","138213","1117-09-01"
"91349","6","138018","138214","1142-09-17"
"91350","6","138021","138215","1103-12-12"
"91351","6","138022","138216","1085-06-17"
"91352","6","138025","138217","1129-12-07"
"91353","6","138028","138218","1166-11-24"
"91354","6","138032","138219","1155-03-08"
"91355","6","138033","138220","1151-06-29"
"91356","6","138035","138221","1117-09-04"
"91357","6","138037","138222","1092-11-02"
