"marriage_id","tree_id","husband_id","wife_id","start_date"
"1","1","1","2","1026-08-19"
"2","1","3","13","1082-01-21"
"3","1","5","14","1083-05-04"
"4","1","9","15","1112-04-08"
"5","1","10","16","1078-10-23"
"6","1","17","4","1056-09-20"
"7","1","18","6","1078-02-03"
"8","1","19","7","1086-06-07"
"9","1","20","11","1060-11-14"
"10","1","21","12","1075-08-21"
"11","1","26","72","1111-10-13"
"12","1","27","73","1083-04-20"
"13","1","28","74","1103-09-23"
"14","1","30","75","1074-04-28"
"15","1","33","76","1131-10-27"
"16","1","38","77","1100-09-19"
"17","1","39","78","1094-03-06"
"18","1","44","79","1130-08-20"
"19","1","45","80","1103-06-25"
"20","1","49","81","1071-12-08"
"21","1","51","82","1123-07-27"
"22","1","53","83","1088-04-15"
"23","1","54","84","1098-01-25"
"24","1","56","85","1142-09-03"
"25","1","59","86","1106-05-08"
"26","1","60","87","1100-12-31"
"27","1","66","88","1086-11-05"
"28","1","70","89","1062-01-27"
"29","1","90","22","1077-02-22"
"30","1","91","23","1102-02-09"
"31","1","92","29","1131-05-08"
"32","1","93","34","1109-04-17"
"33","1","94","35","1111-02-10"
"34","1","95","36","1081-08-03"
"35","1","96","37","1118-08-18"
"36","1","97","40","1141-05-06"
"37","1","98","41","1095-01-20"
"38","1","99","42","1079-06-23"
"39","1","100","43","1093-11-03"
"40","1","101","46","1080-02-23"
"41","1","102","47","1114-04-27"
"42","1","103","48","1103-05-19"
"43","1","104","50","1105-06-29"
"44","1","105","52","1094-07-17"
"45","1","106","55","1135-03-05"
"46","1","107","57","1065-08-05"
"47","1","108","58","1071-08-06"
"48","1","109","61","1089-09-19"
"49","1","110","62","1110-02-12"
"50","1","111","63","1106-11-27"
"51","1","112","64","1083-06-13"
"52","1","113","65","1065-12-23"
"53","1","114","67","1101-09-02"
"54","1","115","68","1090-01-27"
"55","1","116","69","1098-01-19"
"56","1","117","71","1074-10-19"
"57","1","118","368","1129-11-04"
"58","1","119","369","1114-02-23"
"59","1","120","370","1135-01-23"
"60","1","125","371","1144-10-03"
"61","1","130","372","1108-06-15"
"62","1","134","373","1146-09-25"
"63","1","135","374","1164-01-08"
"64","1","138","375","1135-10-25"
"65","1","139","376","1124-05-05"
"66","1","142","377","1145-03-12"
"67","1","143","378","1111-09-14"
"68","1","148","379","1164-10-07"
"69","1","154","380","1108-04-19"
"70","1","156","381","1164-07-17"
"71","1","158","382","1143-02-24"
"72","1","159","383","1158-01-26"
"73","1","161","384","1120-03-23"
"74","1","162","385","1111-03-06"
"75","1","164","386","1109-07-12"
"76","1","165","387","1124-03-08"
"77","1","168","388","1150-01-25"
"78","1","170","389","1127-06-19"
"79","1","171","390","1101-09-12"
"80","1","172","391","1124-08-10"
"81","1","173","392","1139-01-07"
"82","1","174","393","1182-12-20"
"83","1","175","394","1160-10-22"
"84","1","177","395","1112-09-10"
"85","1","180","396","1157-10-01"
"86","1","182","397","1131-09-19"
"87","1","185","398","1131-11-16"
"88","1","186","399","1133-12-02"
"89","1","187","400","1108-11-18"
"90","1","191","401","1119-11-30"
"91","1","194","402","1155-03-10"
"92","1","197","403","1126-03-27"
"93","1","198","404","1144-06-03"
"94","1","199","405","1111-05-27"
"95","1","202","406","1123-10-17"
"96","1","203","407","1117-03-24"
"97","1","206","408","1155-11-22"
"98","1","210","409","1123-02-05"
"99","1","211","410","1078-08-31"
"100","1","212","411","1141-02-05"
"101","1","213","412","1176-08-28"
"102","1","214","413","1154-10-11"
"103","1","215","414","1159-02-23"
"104","1","217","415","1166-12-29"
"105","1","219","416","1181-10-29"
"106","1","220","417","1149-03-26"
"107","1","224","418","1137-06-08"
"108","1","227","419","1128-05-29"
"109","1","228","420","1130-02-08"
"110","1","230","421","1129-01-02"
"111","1","231","422","1150-04-04"
"112","1","232","423","1111-03-23"
"113","1","233","424","1133-10-26"
"114","1","239","425","1139-05-06"
"115","1","244","426","1125-10-21"
"116","1","246","427","1108-02-22"
"117","1","249","428","1117-09-13"
"118","1","252","429","1134-08-11"
"119","1","264","430","1127-08-05"
"120","1","265","431","1158-08-18"
"121","1","266","432","1156-01-09"
"122","1","268","433","1154-04-22"
"123","1","269","434","1145-04-14"
"124","1","270","435","1122-10-17"
"125","1","272","436","1117-02-20"
"126","1","273","437","1142-08-16"
"127","1","275","438","1132-03-31"
"128","1","276","439","1155-11-13"
"129","1","277","440","1135-10-30"
"130","1","278","441","1169-10-07"
"131","1","279","442","1175-12-16"
"132","1","280","443","1175-12-04"
"133","1","282","444","1185-08-23"
"134","1","283","445","1137-02-02"
"135","1","288","446","1130-08-30"
"136","1","290","447","1161-11-21"
"137","1","295","448","1111-12-19"
"138","1","297","449","1105-11-17"
"139","1","300","450","1101-11-16"
"140","1","302","451","1135-09-10"
"141","1","304","452","1116-05-31"
"142","1","306","453","1148-05-11"
"143","1","309","454","1152-05-07"
